Time, lidar measured x, lidar measured y 
4533333,14.8281,0.0231181
4533333,-1.77934,-3.97701
4533333,10.84,3.94677
4566666,14.5512,0.0377784
4566666,-2.38341,-3.96235
4566666,10.7092,3.95868
4600000,15.1344,-0.0742562
4600000,-2.12192,-4.07438
4600000,11.4407,3.8439
4633333,15.2207,-0.171998
4633333,-2.35176,-4.17212
4633333,11.6775,3.74341
4666666,15.3769,-0.0786014
4666666,-2.50607,-4.07873
4666666,11.9866,3.83405
4700000,15.7352,-0.0490472
4700000,-2.45281,-4.04917
4700000,12.4998,3.86086
4733333,15.5414,0.0823106
4733333,-2.94599,-3.91781
4733333,12.4633,3.98947
4766666,15.9456,0.345491
4766666,-2.8357,-3.65463
4766666,13.0269,4.2499
4800000,16.1022,-0.166041
4800000,-2.96745,-4.16616
4800000,13.3451,3.73561
4833333,16.1164,-0.141468
4833333,-3.23604,-4.14159
4833333,13.5232,3.75744
4866666,16.4998,-0.197333
4866666,-3.12982,-4.19746
4866666,14.0727,3.69882
4900000,16.8056,0.0101407
4900000,-3.09574,-3.98998
4900000,14.5468,3.90355
4933333,16.7922,-0.162143
4933333,-3.37523,-4.16227
4933333,14.704,3.72851
4966666,17.0115,-0.0581885
4966666,-3.41647,-4.05831
4966666,15.0961,3.82972
5000000,17.2467,-0.118054
5000000,-3.43627,-4.11818
5000000,15.5062,3.7671
5033333,17.339,0.0636841
5033333,-3.59342,-3.93644
5033333,15.7757,3.94609
5066666,17.1228,0.0460006
5066666,-4.05351,-3.95412
5066666,15.739,3.92566
5100000,17.3577,0.150131
5100000,-4.05691,-3.84999
5100000,16.1556,4.02704
5133333,17.9107,-0.352737
5133333,-3.73676,-4.35286
5133333,16.8924,3.52142
5166666,17.8921,-0.0899628
5166666,-3.98251,-4.09009
5166666,17.0599,3.78144
5200000,17.7885,0.020618
5200000,-4.3078,-3.97951
5200000,17.1446,3.88927
5233333,18.0046,0.0778797
5233333,-4.30785,-3.92224
5233333,17.5513,3.94379
5266666,18.2804,-0.157787
5266666,-4.24254,-4.15791
5266666,18.0199,3.70537
5300000,18.3928,-0.121938
5300000,-4.33517,-4.12206
5300000,18.3272,3.73847
5333333,18.2484,-0.107476
5333333,-4.67905,-4.1076
5333333,18.38,3.75018
5366666,18.6245,0.0266084
5366666,-4.49677,-3.97352
5366666,18.9556,3.88151
5400000,18.7473,-0.170184
5400000,-4.56233,-4.17031
5400000,19.2801,3.68197
5433333,18.7991,-0.084441
5433333,-4.69331,-4.08457
5433333,19.5357,3.76496
5466666,18.9064,-0.155206
