Time, estimated x, estimated y, estimated v, estimated yaw 
3700000,2.61129,-4.07618,-6.02601,0.0331149
3700000,3.0692,3.97116,8.40664,-0.0830082
3733333,10.1598,0.495702,6.5023,-0.625877
3733333,2.41761,-4.05674,-6.0066,0.017083
3733333,3.35174,3.96452,8.44683,-0.0882696
3766666,10.3299,0.405961,6.4727,-0.612342
3766666,2.18964,-4.05845,-6.08513,0.0171378
3766666,3.64369,3.94034,8.53977,-0.0958945
3800000,10.5091,0.357489,6.36412,-0.582738
3800000,1.99121,-4.03883,-6.06647,0.00343903
3800000,3.93177,3.93625,8.58307,-0.0973253
3833333,10.6847,0.280922,6.37025,-0.562353
3833333,1.76865,-4.05233,-6.12481,0.0129709
3833333,4.20646,3.93698,8.63298,-0.0877741
3866666,10.8762,0.200338,6.33205,-0.546873
3866666,1.58693,-4.04378,-6.06376,0.00237251
3866666,4.52053,3.89974,8.739,-0.103178
3900000,11.075,0.134743,6.34169,-0.521174
3900000,1.39636,-4.04563,-6.02516,0.00451436
3900000,4.83419,3.87788,8.86961,-0.106293
3933333,11.2654,0.11087,6.3463,-0.476465
3933333,1.17055,-4.0465,-6.08029,0.0159164
3933333,5.12211,3.89966,8.95246,-0.0841732
3966666,11.4346,0.0542716,6.21233,-0.458999
3966666,0.962653,-4.03616,-6.09596,0.00175359
3966666,5.39689,3.88891,8.88403,-0.0836301
4000000,11.6447,0.0221828,6.22823,-0.420601
4000000,0.787246,-4.04034,-6.00722,0.00827619
4000000,5.71082,3.89159,8.99727,-0.0753796
4033333,11.8479,-0.0135106,6.15419,-0.390311
4033333,0.622906,-4.0426,-5.89724,0.00440618
4033333,6.01898,3.88637,9.01812,-0.0745875
4066666,12.0257,-0.0622933,6.05389,-0.371618
4066666,0.411425,-4.03997,-5.94398,-0.00435141
4066666,6.30928,3.87045,8.99216,-0.0759108
4100000,12.2167,-0.0853745,6.04381,-0.337441
4100000,0.207681,-4.03398,-5.9593,-0.00328181
4100000,6.60935,3.87082,9.05727,-0.0666604
4133333,12.4166,-0.0937613,5.99698,-0.298093
4133333,0.0476552,-4.03232,-5.83301,-0.00297489
4133333,6.91211,3.88095,9.08355,-0.0563763
4166666,12.6015,-0.103907,5.95027,-0.26319
4166666,-0.146612,-4.0281,-5.8311,-0.00429075
4166666,7.2015,3.89612,9.08871,-0.0423571
4200000,12.7891,-0.0995606,5.90582,-0.222787
4200000,-0.331118,-4.0141,-5.79291,-0.00836694
4200000,7.4968,3.9117,9.10943,-0.0291884
4233333,12.9803,-0.150617,5.95136,-0.211233
4233333,-0.513076,-4.02618,-5.76748,-0.000176801
4233333,7.81298,3.88081,9.22235,-0.0336873
4266666,13.1604,-0.128711,5.84608,-0.166412
4266666,-0.714271,-4.01098,-5.77659,-0.0135004
4266666,8.09793,3.91712,9.16613,-0.0137476
4300000,13.3561,-0.174201,5.90193,-0.156355
4300000,-0.920837,-4.00765,-5.824,-0.0157061
4300000,8.43139,3.87341,9.31795,-0.02519
4333333,13.5551,-0.15743,5.88209,-0.115709
4333333,-1.10124,-3.99403,-5.76513,-0.0234246
4333333,8.75005,3.88498,9.36856,-0.0156517
4366666,13.7462,-0.167495,5.87117,-0.0923626
4366666,-1.2786,-3.98982,-5.70329,-0.0277894
4366666,9.06939,3.8724,9.42924,-0.0153251
4400000,13.9345,-0.176245,5.78131,-0.0705173
4400000,-1.4571,-3.9715,-5.62206,-0.0455011
4400000,9.39622,3.84228,9.44858,-0.0248646
4433333,14.1217,-0.177788,5.7529,-0.0468616
4433333,-1.6431,-3.96247,-5.59684,-0.054997
4433333,9.71823,3.83402,9.50884,-0.0224794
4466666,14.3173,-0.159102,5.6868,-0.0137983
4466666,-1.75646,-3.97445,-5.32729,-0.0500562
4466666,10.0473,3.83158,9.53765,-0.0202358
4500000,14.506,-0.13208,5.75893,0.0197303
4500000,-1.93207,-3.96991,-5.34558,-0.0466367
4500000,10.3667,3.86096,9.66266,-1.08706e-05
4533333,14.6959,-0.0931937,5.67161,0.0590473
4533333,-2.05897,-3.96707,-5.13972,-0.0499625
4533333,10.6939,3.87302,9.65099,0.00612076
4566666,14.852,-0.0529711,5.53956,0.0958014
4566666,-2.21117,-3.95339,-5.0333,-0.0627498
4566666,10.9845,3.90278,9.56533,0.0208187
4600000,15.0349,-0.0414946,5.50176,0.114358
4600000,-2.34387,-3.95221,-4.89443,-0.0641462
4600000,11.3184,3.8886,9.61362,0.0161005
4633333,15.2178,-0.0519902,5.5113,0.117899
4633333,-2.49001,-3.95766,-4.83389,-0.0606571
4633333,11.658,3.86062,9.71628,0.00774091
4666666,15.3999,-0.0481014,5.50489,0.128253
4666666,-2.64063,-3.95421,-4.78685,-0.0631037
4666666,11.9959,3.84733,9.78956,0.00506374
