Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
4033333,6.22616,3.96084,9.1,-0.0083335
4066666,12.1555,0.136702,5.85001,-0.156
4066666,0.219998,-4,-5.6,0
4066666,6.52948,3.95831,9.16667,-0.0083335
4100000,12.3481,0.106406,5.85001,-0.1365
4100000,0.0333311,-4,-5.5,0
4100000,6.83502,3.95576,9.23334,-0.0083335
4133333,12.5413,0.0798705,5.85001,-0.117
4133333,-0.150002,-4,-5.4,0
4133333,7.14279,3.9532,9.3,-0.0083335
4166666,12.735,0.0571074,5.85001,-0.0975002
4166666,-0.330002,-4,-5.3,0
4166666,7.45278,3.95061,9.36667,-0.0083335
4200000,12.9291,0.038125,5.85001,-0.0780002
4200000,-0.506669,-4,-5.2,0
4200000,7.76499,3.94801,9.43334,-0.0083335
4233333,13.1235,0.0229303,5.85001,-0.0585001
4233333,-0.680002,-4,-5.1,0
4233333,8.07943,3.94539,9.5,-0.0083335
4266666,13.3182,0.0115293,5.85001,-0.0390001
4266666,-0.850002,-4,-5,0
4266666,8.39608,3.94275,9.56667,-0.0083335
4300000,13.513,0.0039262,5.85001,-0.0195
4300000,-1.01667,-4,-4.9,0
4300000,8.71496,3.94009,9.63334,-0.0083335
4333333,13.708,0.000123929,5.85001,7.45058e-09
4333333,-1.18,-4,-4.8,0
4333333,9.03606,3.93742,9.7,-0.0083335
4366666,13.903,0.00012393,5.78334,7.45058e-09
4366666,-1.34,-4,-4.7,0
4366666,9.35938,3.93472,9.76667,-0.0083335
4400000,14.0957,0.000123932,5.71668,7.45058e-09
4400000,-1.49667,-4,-4.6,0
4400000,9.68493,3.93201,9.83334,-0.0083335
4433333,14.2863,0.000123933,5.65001,7.45058e-09
4433333,-1.65,-4,-4.5,0
4433333,10.0127,3.92928,9.9,-0.0083335
4466666,14.4746,0.000123935,5.58334,7.45058e-09
4466666,-1.8,-4,-4.4,0
4466666,10.3427,3.92653,9.9,-0.0083335
4500000,14.6607,0.000123936,5.51668,7.45058e-09
4500000,-1.94667,-4,-4.3,0
4500000,10.6727,3.92378,9.9,-0.0083335
4533333,14.8446,0.000123937,5.45001,7.45058e-09
4533333,-2.09,-4,-4.2,0
4533333,11.0027,3.92103,9.9,-0.0083335
4566666,15.0263,0.000123939,5.38335,7.45058e-09
4566666,-2.23,-4,-4.1,0
4566666,11.3326,3.91828,9.9,-0.0083335
4600000,15.2057,0.00012394,5.31668,7.45058e-09
4600000,-2.36667,-4,-4,0
4600000,11.6626,3.91553,9.9,-0.0083335
4633333,15.383,0.000123941,5.25001,7.45058e-09
4633333,-2.5,-4,-3.9,0
4633333,11.9926,3.91278,9.9,-0.0083335
4666666,15.558,0.000123943,5.18335,7.45058e-09
4666666,-2.63,-4,-3.8,0
4666666,12.3226,3.91003,9.9,-0.0083335
4700000,15.7307,0.000123944,5.11668,7.45058e-09
4700000,-2.75667,-4,-3.7,0
4700000,12.6526,3.90728,9.9,-0.0083335
4733333,15.9013,0.000123945,5.05001,7.45058e-09
4733333,-2.88,-4,-3.6,0
4733333,12.9826,3.90453,9.9,-0.0083335
4766666,16.0696,0.000123947,4.98335,7.45058e-09
4766666,-3,-4,-3.5,0
4766666,13.3126,3.90178,9.9,-0.0083335
4800000,16.2357,0.000123948,4.91668,7.45058e-09
4800000,-3.11667,-4,-3.4,0
4800000,13.6426,3.89903,9.9,-0.0083335
4833333,16.3996,0.000123949,4.85001,7.45058e-09
4833333,-3.23,-4,-3.3,0
4833333,13.9726,3.89628,9.9,-0.0083335
4866666,16.5613,0.00012395,4.78335,7.45058e-09
4866666,-3.34,-4,-3.2,0
4866666,14.3025,3.89353,9.9,-0.0083335
4900000,16.7208,0.000123951,4.71668,7.45058e-09
4900000,-3.44667,-4,-3.1,0
4900000,14.6325,3.89078,9.9,-0.0083335
4933333,16.878,0.000123953,4.65001,7.45058e-09
4933333,-3.55,-4,-3,0
4933333,14.9625,3.88803,9.9,-0.0083335
