Time, Lidar NIS, Radar NIS 
3666666,0.739095,0.765998
3666666,2.35418,9.59405
3700000,0.454772,5.16154
3700000,1.78693,9.0549
3700000,3.90318,9.85898
3733333,6.11336,0.281262
3733333,1.68478,1.19853
3733333,1.0068,1.2068
3766666,4.35728,3.38885
3766666,0.706243,3.84448
3766666,0.701409,6.78231
3800000,9.22562,0.0791235
3800000,3.0909,0.94158
3800000,2.97607,1.43166
3833333,6.22838,4.08031
3833333,2.88675,1.32109
3833333,4.43782,8.05231
3866666,4.58881,0.489293
3866666,4.59943,1.84456
3866666,2.78411,1.01991
3900000,4.86237,1.39815
3900000,2.87565,1.03073
3900000,1.70366,4.27453
3933333,13.1199,6.66857
3933333,4.14262,4.76959
3933333,7.07333,11.7139
3966666,4.45262,1.25145
3966666,0.868332,2.73955
3966666,2.99566,0.210748
4000000,5.78102,2.15428
4000000,3.68446,1.03196
4000000,2.26121,4.97936
4033333,2.78191,4.84502
4033333,2.59426,4.01121
4033333,0.975068,4.62664
4066666,2.37796,1.5884
4066666,0.522207,2.69996
4066666,1.37595,0.981012
4100000,3.92456,2.61237
4100000,0.577209,2.40882
4100000,1.04132,4.69026
4133333,3.28264,3.45469
4133333,2.42997,1.55204
4133333,1.22084,3.83571
4166666,3.11019,1.24172
4166666,0.31748,0.363188
4166666,1.21645,2.08943
4200000,3.49329,4.19091
4200000,0.826321,3.20381
4200000,1.01352,4.66896
4233333,0.292071,4.04336
4233333,2.96971,2.87438
4233333,1.89276,5.75493
4266666,8.47466,1.9356
4266666,3.09771,3.04727
4266666,4.89722,1.79743
4300000,0.075329,4.83917
4300000,1.44125,4.15517
4300000,0.657616,7.77443
4333333,3.75434,0.367336
4333333,1.94073,0.672688
4333333,1.4185,1.43921
4366666,0.401302,0.390889
4366666,0.894216,0.819101
4366666,0.0586914,1.37018
4400000,0.663679,6.25486
4400000,1.99909,7.31338
4400000,0.136278,4.84071
4433333,1.38951,3.30077
4433333,0.42154,2.72498
4433333,0.680382,4.80468
4466666,2.0507,3.94487
4466666,8.51729,7.79706
4466666,2.01116,2.16788
4500000,2.71585,3.24997
4500000,0.0163486,2.07446
4500000,1.69758,8.73579
4533333,1.53442,2.6474
4533333,4.48425,5.08676
4533333,1.25845,0.431264
4566666,5.17162,2.87439
4566666,0.966563,6.67633
4566666,4.05089,0.812659
4600000,0.473004,0.812373
4600000,3.36806,1.74797
4600000,0.914009,0.338606
4633333,0.874172,0.922096
4633333,3.12629,0.118127
4633333,0.877786,2.24536
4666666,0.115021,2.34136
4666666,1.53878,0.771747
4666666,0.0322427,3.08481
4700000,1.01552,6.51907
4700000,5.33564,9.73112
4700000,1.32012,3.66197
4733333,2.11114,1.99991
4733333,0.159669,3.93983
4733333,2.11169,4.60851
4766666,2.99335,0.532615
4766666,5.43392,1.15156
4766666,4.4544,1.24556
4800000,3.6813,1.82184
4800000,3.61315,2.90548
4800000,2.32812,0.464229
4833333,3.89967,1.6108
4833333,1.59175,0.42804
4833333,1.87492,1.65488
4866666,3.91822,1.36301
4866666,5.41094,2.35216
4866666,2.05841,0.352943
4900000,2.0499,5.14979
4900000,6.56333,6.00944
4900000,2.3092,3.25945
4933333,3.02235,4.65062
4933333,3.27164,7.80323
4933333,0.802017,3.34176
4966666,1.58016,1.91905
4966666,2.36658,2.23209
4966666,0.630833,3.01521
5000000,3.3906,0.43118
5000000,4.33896,0.0765769
5000000,1.71945,1.29783
5033333,0.384448,1.70086
5033333,2.5329,2.51261
5033333,0.953977,3.58871
5066666,4.54653,3.16014
5066666,0.754796,3.92842
5066666,3.47626,1.90844
5100000,1.86457,11.3338
5100000,0.934157,11.546
5100000,1.86318,7.46968
5133333,13.2836,1.74013
5133333,12.5333,0.947669
5133333,8.1804,1.93655
5166666,1.81592,2.38783
5166666,2.468,3.48743
5166666,0.196145,0.730387
5200000,2.374,12.4519
5200000,0.0501556,15.4336
5200000,1.79072,7.00352
5233333,0.58056,5.24853
5233333,0.226451,4.01926
5233333,0.852653,3.64513
5266666,3.11063,6.02059
5266666,3.36224,9.95452
5266666,0.683862,6.78603
5300000,2.23688,3.16361
5300000,1.57025,5.33345
5300000,0.301817,3.17712
5333333,4.92465,6.21502
5333333,1.27568,10.1977
5333333,2.6854,2.8407
5366666,0.220401,1.66656
5366666,0.419067,2.2124
5366666,0.251961,2.06206
5400000,2.96579,3.46121
5400000,1.38029,5.93757
5400000,0.712796,1.39157
5433333,1.25575,3.97422
5433333,0.179396,4.35139
5433333,0.084808,6.27607
5466666,2.54571,2.40534
5466666,0.601949,2.55353
5466666,0.575669,3.89061
5500000,0.255157,1.54525
5500000,1.64914,1.98064
5500000,1.09978,1.33826
5533333,2.41079,0.71672
5533333,0.995477,1.2627
5533333,1.71211,1.02017
5566666,0.382976,1.00903
5566666,0.213768,1.97061
5566666,0.0997686,0.924459
5600000,1.93404,1.27682
5600000,0.10417,1.44989
5600000,0.710906,0.943
5633333,1.15298,1.56552
5633333,0.218768,2.90515
5633333,0.262488,1.68965
5666666,7.78208,2.82876
5666666,4.01556,4.91827
5666666,4.84763,2.65117
5700000,2.9727,10.2401
5700000,5.97125,12.082
5700000,4.97442,9.0119
5733333,3.55883,3.66337
5733333,3.51407,6.1233
5733333,2.07449,3.40965
5766666,1.23427,3.34042
5766666,3.55756,5.10695
5766666,2.17118,3.07727
5800000,6.89969,1.80126
5800000,5.18319,2.96466
5800000,4.20089,1.38984
5833333,4.55718,1.97652
5833333,6.4704,1.45237
5833333,3.88302,2.48604
5866666,2.7357,6.65225
5866666,4.84378,7.31314
5866666,4.96518,6.51276
5900000,1.52839,3.75505
5900000,2.54129,4.74979
5900000,2.75796,3.80338
5933333,4.78749,4.45427
5933333,6.98155,4.21424
5933333,5.15148,4.71745
5966666,0.0466853,4.65326
5966666,0.297005,3.94202
5966666,0.0514831,4.62318
6000000,0.127473,2.78899
6000000,0.111294,3.45644
6000000,0.0314542,2.58346
6033333,0.0579569,1.42368
6033333,0.616945,1.99586
6033333,0.309862,1.28801
6066666,0.200875,3.88899
6066666,0.601092,3.75884
6066666,0.263208,3.82634
6100000,3.02072,6.0312
6100000,2.29373,6.88836
6100000,2.71624,5.78548
6133333,8.02333,3.63623
6133333,6.48686,6.27035
6133333,6.2668,3.4254
6166666,3.29259,2.39325
6166666,3.52153,4.34911
6166666,2.15437,2.26975
6200000,1.70709,2.45753
6200000,2.0821,1.51576
6200000,0.835614,2.76421
6233333,1.90642,5.66457
6233333,1.49213,7.94773
6233333,3.24011,5.29929
6266666,1.29157,3.80575
6266666,1.08386,4.49865
6266666,1.20596,3.95841
6300000,0.510748,2.5179
6300000,0.253296,3.05054
6300000,0.688763,2.4144
6333333,0.439719,6.22463
6333333,0.251084,5.18187
6333333,0.92385,6.28616
6366666,4.32824,5.11309
6366666,8.33221,6.63622
6366666,3.8231,5.06936
6400000,0.718427,11.133
6400000,0.185503,14.2668
